key,display_name,foreground_color,background_color,initial,display_name_plural,icon,external_dataset,external_dataref
role,Role,#ffffff,#BA6FC6,R,Roles,role,,
app,Application,#ffffff,#3b94fe,A,Applications,app,,
env,Environment,#ffffff,#00a2ab,E,Environments,env,,
loc,Location,#ffffff,#5e46dd,L,Locations,loc,,
bu,Business Unit,#000000,#ebbb0f,BU,Business Units,group,,
type,Type,#ffffff,#6972f2,T,Types,servers,,
os,OS,#000000,#deaf02,OS,OS,adfs,,
risk,Risk,#000000,#ff0000,Ri,Risks,critical,,
compliance,Compliance,#ffffff,#ff00ea,Co,Compliances,cancel,,
WZ,Wiz-Vuln,#ffffff,#C93734,,Wiz-Vuln,clear,,
kc,Kubernetes Cluster,#ffffff,#2346d1,KC,Kubernetes Clusters,internet,,
DFIRBubble,DFIR Bubble,#000000,#f8e725,IR,DFIR Bubble,policy,,
